Rank,Name_Org,Forbes_ID,Net_Worth_($B),age,Age_Range_How_Old,Country_Working_In,Source_Of_WealthCompany,Industry,Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education,Bachelor,Master,Doctorate,Drop Out,Self Made
1,Bernard Arnault & family,bernard-arnault,211,74,8,France,LVMH,Fashion & Retail,74,LVMH,6,1,"Paris, France",France,Married,5,"Bachelor of Arts/Science, Ecole Polytechnique de Paris",1,0,0,0,0
2,Elon Musk,elon-musk,180,51,6,United States,"Tesla, SpaceX",Automotive,52,"Tesla, SpaceX, Self Made",8,1,"Austin, Texas",United States,Single,10,"Bachelor of Arts/Science, University of Pennsylvania",1,0,0,0,1
3,Jeff Bezos,jeff-bezos,114,59,6,United States,Amazon,Technology,59,"Amazon, Self Made",8,2,"Medina, Washington",United States,Engaged,4,"Bachelor of Arts/Science, Princeton University",1,0,0,0,1
4,Larry Ellison,larry-ellison,107,78,8,United States,Oracle,Technology,79,"Oracle, Self Made",9,1,"Lanai, Hawaii",United States,In Relationship,4,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign",0,0,0,1,1
5,Warren Buffett,warren-buffett,106,92,10,United States,Berkshire Hathaway,Finance & Investments,92,"Berkshire Hathaway, Self Made",8,5,"Omaha, Nebraska",United States,"Widowed, Remarried",3,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln",1,1,0,0,1
6,Bill Gates,bill-gates,104,67,7,United States,Microsoft,Technology,67,"Microsoft, Self Made",8,5,"Medina, Washington",United States,Divorced,3,"Drop Out, Harvard University",0,0,0,1,1
7,Michael Bloomberg,michael-bloomberg,94,81,9,United States,Bloomberg LP,Media & Entertainment,81,"Bloomberg LP, Self Made",8,4,"New York, New York",United States,In Relationship,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University",1,1,0,0,1
8,Carlos Slim Helu & family,carlos-slim-helu,93,83,9,Mexico,Telecom,Telecom,83,"Telecom, Self Made",6,1,"Mexico City, Mexico",Mexico,Widowed,6,"Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico",1,0,0,0,1
9,Mukesh Ambani,mukesh-ambani,83,65,7,India,Diversified,Diversified,66,Diversified,6,1,"Mumbai, India",India,Married,3,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai",1,0,0,1,0
10,Steve Ballmer,steve-ballmer,80,67,7,United States,Microsoft,Technology,67,"Microsoft, Self Made",6,2,"Hunts Point, Washington",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University",1,0,0,1,1
11,Francoise Bettencourt Meyers & family,francoise-bettencourt-meyers,80,69,7,France,L'Oréal,Fashion & Retail,70,L'Oréal,6,1,"Paris, France",France,Married,2,Unknown,0,0,0,0,0
12,Larry Page,larry-page,79,50,5,United States,Google,Technology,50,"Google, Self Made",8,1,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan",1,1,0,0,1
13,Amancio Ortega,amancio-ortega,77,87,9,Spain,Zara,Fashion & Retail,87,"Zara, Self Made",6,1,"La Coruna, Spain",Spain,Married,3,Unknown,0,0,0,0,1
14,Sergey Brin,sergey-brin,76,49,5,United States,Google,Technology,50,"Google, Self Made",9,2,"Los Altos, California",United States,Separated,3,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park",1,1,0,0,1
